frame_idx	x	y	vel_x	vel_y
34	45.55	49.03	-9.5	0.5
34	58.81	44.01	-3.6	6.7
34	59.08	31.44	0.3	6.3
34	58.66	22.88	0.2	3.2
35	17.56	50.27	-14.2	0.6
35	40.6	49.25	-10.5	0.5
35	56.41	47.08	-7.1	4.7
35	59.24	34.75	0.4	7.2
35	58.75	24.69	0.2	4.2
36	10.47	50.58	-14.2	0.6
36	35.13	49.49	-11.6	0.5
36	52.35	48.55	-8.8	1.6
36	59.43	38.49	0.3	7.7
36	58.86	26.99	0.3	5.3
37	3.38	50.89	-14.1	0.7
37	29.12	49.76	-12.5	0.5
37	47.78	48.93	-9.6	0.5
37	59.25	41.95	-0.6	6.9
37	59	29.75	0.3	5.7
38	22.65	50.04	-13.6	0.6
38	42.74	49.16	-10.8	0.4
38	58.08	45.38	-3.7	6.9
38	59.15	32.83	0.3	6.8
38	58.7	23.61	0.1	3.9
39	15.69	50.35	-14.5	0.6
39	37.13	49.4	-11.8	0.6
39	55.16	47.9	-7.3	2.6
39	59.32	36.3	0.3	7.1
39	58.8	25.73	0.2	4.7
40	8.44	50.67	-14.4	0.6
40	30.99	49.68	-12.9	0.5
40	51.34	48.74	-7.8	0.7
40	59.45	39.91	-0.7	6.8
40	58.93	28.33	0.3	5.9
41	24.32	49.97	-13.9	0.6
41	47.21	48.96	-8.8	0.4
41	59.13	43.29	-2.9	6.8
41	59.06	31.13	0.3	5.8
41	58.65	22.79	0.2	2.7
42	17.17	50.29	-14.8	0.6
42	42.61	49.16	-9.7	0.5
42	57.33	46.46	-6.1	4.1
42	59.22	34.22	0.3	6.5
42	58.73	24.32	0.2	3.7
43	9.55	50.62	-15.6	0.7
43	37.57	49.39	-10.6	0.4
43	54.15	48.21	-7.3	1.4
43	59.38	37.49	0.3	6.8
43	58.83	26.37	0.2	4.8
44	1.78	50.96	-15.5	0.7
44	32.07	49.63	-11.6	0.5
44	50.52	48.81	-7.6	0.4
44	59.35	40.93	-0.6	6.1
44	58.96	28.98	0.3	5.5
45	26.09	49.89	-12.6	0.6
45	46.48	48.99	-8.6	0.4
45	58.74	44.14	-3.3	6.2
45	59.1	31.8	0.3	6.1
45	58.67	23.13	0.2	3.2
46	19.58	50.18	-13.7	0.6
46	41.98	49.19	-9.6	0.4
46	56.72	46.87	-5.9	3.9
46	59.25	34.87	0.3	6.2
46	58.76	24.96	0.2	4.3
47	12.74	50.48	-13.7	0.6
47	36.98	49.41	-10.6	0.5
47	53.63	48.31	-6.9	1.3
47	59.4	38.01	0.4	6.6
47	58.87	27.25	0.3	4.9
48	5.88	50.78	-13.7	0.6
48	31.47	49.65	-11.5	0.6
48	50.17	48.83	-7.3	0.3
48	59.31	41.33	-0.6	6.5
48	59	29.87	0.3	5.1
48	58.63	22.28	0.1	2.4
49	25.54	49.92	-12.4	0.5
49	46.37	49	-8.2	0.3
49	58.5	44.6	-3.5	6.4
49	59.14	32.62	0.3	6
49	58.7	23.62	0.1	3.2
50	19.22	50.2	-12.8	0.5
50	42.13	49.18	-9.1	0.4
50	56.1	47.28	-6.3	4.2
50	59.29	35.75	0.3	6.4
50	58.79	25.47	0.2	4.3
51	12.82	50.48	-12.8	0.5
51	37.4	49.39	-10.1	0.5
51	52.63	48.5	-7.4	1.4
51	59.45	39.05	0.1	7.1
51	58.9	27.84	0.3	5.4
52	6.42	50.76	-12.7	0.6
52	32.13	49.63	-11.1	0.4
52	48.84	48.89	-8.2	0.3
52	59.21	42.45	-0.7	7.2
52	59.04	30.59	0.3	5.8
52	58.64	22.54	0.2	2.8
53	26.34	49.88	-12.2	0.5
53	44.52	49.08	-9.3	0.4
53	57.83	45.84	-4.4	5.8
53	59.19	33.67	0.3	6.5
53	58.72	24.11	0.2	3.6
54	20.27	50.15	-12.1	0.5
54	39.72	49.29	-10.2	0.5
54	54.91	48.07	-7.3	1.4
54	59.35	36.92	0.3	6.6
54	58.82	26.07	0.2	4.5
55	14.2	50.42	-12.2	0.5
55	34.41	49.52	-11.2	0.5
55	51.27	48.75	-7.4	0.6
55	59.4	40.38	-0.6	6.4
55	58.94	28.5	0.2	5.4
56	8.13	50.68	-12.2	0.6
56	28.59	49.78	-12.3	0.6
56	47.39	48.95	-8.3	0.4
56	59.05	43.58	-3.4	6.2
56	59.07	31.25	0.3	5.9
56	58.66	22.82	0.1	2.9
57	2.05	50.95	-12.1	0.6
57	22.43	50.05	-12.3	0.6
57	43.02	49.14	-9.2	0.5
57	56.99	46.69	-6.9	4.6
57	59.22	34.35	0.4	6.8
57	58.74	24.48	0.2	4
58	16.22	50.33	-12.9	0.5
58	38.21	49.36	-10.2	0.4
58	53.13	48.4	-8.9	1.7
58	59.4	37.93	0.4	7.8
58	58.84	26.65	0.3	4.9
59	9.73	50.61	-13	0.6
